nom série;numero de lepisode;numero de la saison;date diffusion;origine;plateform;url episode
4 Estrellas;110;1;;4 Estrellas Espagne;TVE;https://www.spin-off.fr/episode110-411772-01112023-saison1-4-Estrellas.html
Black Cake;1;1;;Black Cake Etats-Unis;Hulu;https://www.spin-off.fr/episode01-410147-01112023-saison1-Black-Cake.html
Black Cake;2;1;;Black Cake Etats-Unis;Hulu;https://www.spin-off.fr/episode02-410148-01112023-saison1-Black-Cake.html
Black Cake;3;1;;Black Cake Etats-Unis;Hulu;https://www.spin-off.fr/episode03-410149-01112023-saison1-Black-Cake.html
Blanca;5;2;;Blanca Italie;Rai 1;https://www.spin-off.fr/episode05-411693-01112023-saison2-Blanca.html
Children Ruin Everything;6;3;;Children Ruin Everything Canada;CTV;https://www.spin-off.fr/episode06-411350-01112023-saison3-Children-Ruin-Everything.html
Chucky;5;3;;Chucky Etats-Unis;Syfy;https://www.spin-off.fr/episode05-409118-01112023-saison3-Chucky.html
Cooper's Bar;5;2;;Cooper's Bar Etats-Unis;AMC;https://www.spin-off.fr/episode05-411065-01112023-saison2-Cooper-s-Bar.html
Demain nous appartient;53;7;;Demain nous appartient France;TF1;https://www.spin-off.fr/episode53-411593-01112023-saison7-Demain-nous-appartient.html
Hotel Mondial;5;2;;Hotel Mondial Allemagne;ZDF;https://www.spin-off.fr/episode05-411891-01112023-saison2-Hotel-Mondial.html
